Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity,Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),latitude,longitude,h3_index
2022-01-04,koramangala,Sony World Junction,28369,29.40974506766144,1.5,86.33738400847444,100.0,1,106.738,35.498890273365284,80.13669083419427,84.51974143146826,104,Overcast,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-04,koramangala,Sarjapur Road,31228,42.57507710047305,1.5,97.78375372046088,100.0,2,112.456,35.82395476988407,78.50138864532592,87.37354690668784,73,Fog,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-05,whitefield,ITPL Main Road,17018,57.473270552317246,1.2133844367905289,64.60451832768582,87.97597211224532,0,84.036,31.820544745688377,69.93956559257863,87.19731462863385,108,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-05,koramangala,Sony World Junction,58920,25.21236284217693,1.5,100.0,100.0,2,167.84,54.88033430197081,87.75793777868401,77.13622216737981,92,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-05,koramangala,Sarjapur Road,46963,34.44415329089545,1.5,100.0,100.0,2,143.926,71.0486736260906,97.28473129934449,78.25665917946044,106,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-06,whitefield,Marathahalli Bridge,20310,51.72257284413772,1.103155074173281,60.48712148145648,100.0,1,90.62,22.01755000938125,70.89229306077476,50.919533827373336,117,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-06,koramangala,Sony World Junction,61024,44.82690983945514,1.5,100.0,100.0,2,172.048,36.81969697746482,80.75670821131351,52.34829833875276,89,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-06,koramangala,Sarjapur Road,28153,21.483153943836665,1.5,98.22425143701824,100.0,4,106.306,25.045826501352973,61.24732540245139,63.11320221499125,103,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-07,whitefield,ITPL Main Road,34362,46.08703580582908,1.5,100.0,100.0,5,118.724,21.10235737051516,95.23483036795712,93.5921763872616,87,Fog,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-08,whitefield,Marathahalli Bridge,16390,34.37367222583899,1.2757859876549065,60.64506731551499,78.9515024424481,0,82.78,17.31974882340802,85.45720998174546,85.32378632434506,78,Fog,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-08,koramangala,Sarjapur Road,65269,36.975996046924,1.5,100.0,100.0,2,180.538,14.224645879339466,69.88412936040586,57.97723400565942,113,Windy,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-09,whitefield,ITPL Main Road,34188,25.82840194803964,1.5,100.0,100.0,4,118.376,12.12709417877858,97.23794782027912,84.47633755157806,105,Rain,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-09,koramangala,Sony World Junction,32010,32.4761995653555,1.5,100.0,100.0,3,114.02,56.73153698945093,92.31383767765034,88.11425673883079,109,Overcast,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-09,koramangala,Sarjapur Road,13903,30.599491174057057,1.1584690766437022,50.25267746713058,68.40058101270346,0,77.806,26.62808916120292,74.9300716651736,61.363481363157575,174,Rain,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-10,koramangala,Sony World Junction,31137,51.283966231285376,1.5,99.27321333119612,100.0,0,112.274,72.59336122648827,67.67469298874971,66.16857810577604,91,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-10,koramangala,Sarjapur Road,60935,20.0,1.5,100.0,100.0,2,171.87,56.86408686387331,99.7655744488467,83.09195949246893,102,Clear,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-11,whitefield,Marathahalli Bridge,40629,28.94285076996661,1.5,100.0,100.0,2,131.25799999999998,46.28856153616429,66.00676003268167,86.87168843607428,100,Clear,Yes,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-11,koramangala,Sony World Junction,14197,57.98811324847052,1.118614232515062,44.31739792825032,73.73153531181183,1,78.394,22.187653473385904,63.935825988535896,83.0151359850669,212,Clear,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-12,whitefield,Marathahalli Bridge,29583,53.8661464608941,1.5,100.0,100.0,3,109.166,15.39407953940318,62.342037169759166,66.71191593480305,109,Fog,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-12,whitefield,ITPL Main Road,14566,26.3346338292694,1.035440171871847,42.96557238755756,73.81225294063739,3,79.132,39.487363730585045,85.4470945883293,89.2825809040116,180,Overcast,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-12,koramangala,Sony World Junction,43533,23.803825667109887,1.5,100.0,100.0,0,137.066,68.21879305730414,70.9228323989125,75.90393831194078,94,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-13,koramangala,Sarjapur Road,55123,36.1772121738091,1.5,100.0,100.0,3,160.24599999999998,78.84650309006554,65.62846112195034,60.1007834201245,90,Rain,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-14,koramangala,Sony World Junction,56258,45.85982116175032,1.5,100.0,100.0,1,162.51600000000002,59.2580184222557,81.62793906579641,54.82672350977204,92,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-14,koramangala,Sarjapur Road,32100,26.36048778579194,1.5,97.96285671956709,100.0,4,114.2,15.527841353358005,69.58040679638152,89.72891393500952,101,Overcast,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-15,koramangala,Sony World Junction,13316,36.94129933503811,1.2708482558940035,46.50225165572048,65.2259372819754,0,76.632,79.16251763089143,78.1600648478446,84.41371178901186,182,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-16,koramangala,Sarjapur Road,47091,46.82453826605304,1.5,100.0,100.0,1,144.18200000000002,44.13394667670476,63.1059733868642,70.37715155162154,97,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-17,whitefield,ITPL Main Road,28643,27.38592456715195,1.5,89.46097216454773,100.0,1,107.286,14.066436645624483,64.46048849285106,75.7930951356164,93,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-17,koramangala,Sony World Junction,14771,35.05650625391488,1.1971458337789789,47.32246161176405,74.16437678412095,0,79.542,10.694667478948494,78.56380637814016,98.1749620443794,201,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-18,whitefield,Marathahalli Bridge,24990,51.19926332395805,1.024881290465881,76.2460608855794,100.0,2,99.98,77.05538847397393,81.18638895782479,62.09466470564446,100,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-18,koramangala,Sony World Junction,43308,34.16966396507227,1.5,100.0,100.0,1,136.616,69.05547648362767,99.24770116656464,89.65714369983698,112,Windy,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-19,whitefield,ITPL Main Road,21972,45.34152417488025,1.3892312651889331,67.76250662499345,100.0,0,93.944,26.129166348214493,60.058952883452456,86.46723970439982,129,Rain,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-19,koramangala,Sarjapur Road,32388,25.188344688603184,1.5,100.0,100.0,5,114.776,51.34464837962464,86.44057016989281,53.9227908158562,101,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-20,whitefield,Marathahalli Bridge,9673,58.40461051790348,1.2594019280474753,27.59137389048416,43.51610684214475,1,69.346,57.32184016367832,88.26519479514837,80.50037085397429,192,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-20,koramangala,Sony World Junction,29570,37.76793449325288,1.5,100.0,100.0,2,109.14,50.80482397629842,70.12406156718436,72.51271230714451,125,Overcast,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-20,koramangala,Sarjapur Road,56542,33.5907208572238,1.5,100.0,100.0,1,163.084,40.40823233046268,88.93791271400005,50.45270807901855,103,Rain,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-21,whitefield,Marathahalli Bridge,21898,57.44679580736786,1.142754390068444,70.06911650806205,100.0,4,93.796,34.80974641551384,80.22536613687835,97.05604062668368,113,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-21,koramangala,Sony World Junction,63687,39.82687887209213,1.5,100.0,100.0,2,177.374,57.155179223243536,67.17013022957123,84.69747952550784,91,Clear,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-22,koramangala,Sony World Junction,14092,60.19283923641769,1.3287323786341436,50.16354870614874,73.42241450541368,0,78.184,58.46512457227407,70.56247938774875,96.95342397251456,206,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-22,koramangala,Sarjapur Road,26948,41.17874800464568,1.5,93.06604556254403,100.0,2,103.896,16.18694628891631,87.95795313949543,68.41736068971757,98,Clear,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-23,whitefield,Marathahalli Bridge,33372,38.084501083315146,1.5,100.0,100.0,1,116.744,24.755517108502005,69.1746310815069,73.45536055237893,93,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-24,whitefield,Marathahalli Bridge,5915,62.24696649761108,1.3356721579921194,12.930258360903569,24.8247166211705,0,61.83,26.623498972658023,61.984574933553496,86.22991434238145,180,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-24,whitefield,ITPL Main Road,37716,28.850495618516643,1.5,100.0,100.0,2,125.432,75.04013020481811,75.49290071901257,53.30825944172202,101,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-24,koramangala,Sony World Junction,62021,36.958452470106856,1.5,100.0,100.0,5,174.042,29.42252758074678,71.26464168422527,98.1680160223019,106,Windy,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-24,koramangala,Sarjapur Road,13360,41.07528893939127,1.1373546808710575,51.22476913844589,71.15484513527495,0,76.72,36.07562520874261,97.14522248461576,53.09042303446113,177,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-25,koramangala,Sony World Junction,29069,32.112046973005135,1.5,93.99462033639774,100.0,2,108.138,37.668152080181045,67.27115468869448,57.84063526584029,111,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-26,whitefield,ITPL Main Road,25420,32.32358909101207,1.5,82.22777274348087,100.0,0,100.84,39.82848665665615,93.2945415864398,90.2824402681671,91,Overcast,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-26,koramangala,Sony World Junction,47525,31.30792799552554,1.5,100.0,100.0,1,145.05,44.47747665000025,77.6842813871888,66.72005894943743,97,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-27,whitefield,Marathahalli Bridge,23141,23.851337049830093,1.3715438199382262,73.77609676138358,100.0,0,96.282,15.711910400338684,70.34366364539136,51.39261204105373,104,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-27,whitefield,ITPL Main Road,24554,54.37915537510655,1.2255678267022494,81.85223737082187,100.0,0,99.108,52.06384039613603,73.63834285742233,95.86340332888405,97,Fog,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-01-27,koramangala,Sony World Junction,45333,36.52434766874186,1.5,100.0,100.0,2,140.666,29.036819157873907,68.71565518506976,83.0917292556999,104,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-27,koramangala,Sarjapur Road,39089,42.08718673517932,1.5,100.0,100.0,3,128.178,38.14190518217685,89.1575680042063,88.99104420050341,86,Fog,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-01-28,whitefield,Marathahalli Bridge,23387,53.03919330880721,1.11853032075992,70.82605580702706,100.0,2,96.774,75.7698012317616,90.20534469780785,79.33119591418313,111,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
